IsoWeeks,flu,flue,bronchitis,chest infection,colds,pleurisy,sinusitis,tonsilitis,Disease Rate
Iso Week 71,1119.041695734703,516.2396651390492,341.53649546643965,65.41590447458744,460.18706691190994,192.9877221218071,139.66680488603933,65.26565084365247,2.949308329
Iso Week 72,2721.801852846277,343.63960235812885,67.88602172487845,74.07567019284313,413.6716705509774,277.81827146023085,138.7359324134536,326.5605675646861,3.551758995
Iso Week 73,1099.9475955815533,391.9901146486308,64.18313464658755,63.90716108459869,199.5367745288127,193.19589688582408,64.83642641218644,64.02334261106022,4.45495086
Iso Week 74,1663.419722496241,192.5496800155444,447.035302877924,135.1522450915099,276.77759313991135,76.55934701047235,164.31831058479727,311.9353483496052,3.522413057
Iso Week 75,904.6888101157996,355.33215606919754,72.84521367781316,202.800030581122,221.28741455558105,134.09186781473977,0.0,66.14497812823545,1.79018976
Iso Week 76,648.0136351449271,293.6200592884938,219.4799623214006,72.28326041454277,120.74717628323994,120.74717617225326,302.4161594244518,359.1566203775143,2.804953098
Iso Week 77,635.1329031256682,81.66128141265291,81.4579753188752,74.85275023244587,0.0,82.17732290987351,221.8763414112777,156.00617864414644,2.547890651
Iso Week 78,849.1777204474331,65.81511459820095,200.7014376355128,70.86293372463776,203.4676563938617,0.0,401.6795450027652,142.0398636878971,1.93282708
Iso Week 79,410.68610531913873,71.29817886838744,66.53899659905207,70.5309389165151,311.45851300628703,0.0,134.65735630015234,193.57214185474805,1.507553681
Iso Week 80,328.8837896185526,277.6809014846784,265.93244010887616,355.31816020682663,259.2926648837793,61.66925502653827,0.0,183.55112301004024,1.775684125
Iso Week 81,598.6102027421987,448.67212129222713,312.8800656514226,128.34550702615311,64.83073047474754,187.34418521006975,244.64665474271385,137.03256199529605,2.278358443
Iso Week 82,553.5850177820106,192.3513836572192,254.35547107946195,298.1074167994815,62.05673890468879,61.36488290030356,64.06554317075776,126.43706301493695,1.743112816
Iso Week 83,453.86190026836266,251.80334225791225,132.68190963432485,60.43439289586846,63.30382320028246,0.0,124.1991046779631,0.0,2.35155521
Iso Week 84,540.7143931756078,371.09613151412486,242.84457610240105,58.9672206761503,63.148366602393416,0.0,127.44540332271264,177.83419911579475,1.884940921
Iso Week 85,565.1544646131357,0.0,416.9260739882172,292.1239198365739,121.83456205537414,62.42340498632694,0.0,290.3858672785495,2.414813251
