IsoWeeks,cold flu,flu,flu symptoms,flue,bronchitis,chest infection,colds,laryngitis,pleurisy,sinusitis,gastric flu,sinuses,tonsilitis,Disease Rate
Iso Week 98,193.9906276288994,740.0984114661787,0.0,0.0,199.46768634918027,0.0,194.9709860061814,67.90460501701058,0.0,193.25755437406005,63.45608024986927,0.0,64.23918411613226,5.824187907
Iso Week 99,0.0,603.2207923862516,63.81868937726745,554.4317661163954,180.9332834865633,187.3108628590331,63.87191592795175,0.0,0.0,65.8637242183161,0.0,71.44019407630886,114.51566903497772,5.292259519
Iso Week 100,0.0,792.9626274271686,129.1680125410059,194.0935458624017,0.0,131.47697520776526,122.4747997419354,120.68093189933012,122.78188228368776,313.6783093351087,0.0,0.0,134.0468644354041,6.833252245
Iso Week 101,0.0,750.1594959208456,0.0,276.6161262105816,194.28227936167343,59.6883843137387,121.24642558321952,0.0,67.07961160309127,204.1142453172076,0.0,189.85112402984163,58.80854024215373,8.590947768
Iso Week 102,131.09415075693067,1230.3808485986665,165.0290063871856,543.4189373213181,125.04292042241973,62.98721792133767,125.04292042241973,0.0,125.32195565904772,194.4025807794772,129.89849889457545,194.07888986247156,61.98871061799753,7.621747895
Iso Week 103,112.2830183590823,688.9953095215287,505.6546119216424,176.03657051640977,107.51519217250195,225.7933945609173,116.77927276924648,107.78476630986648,0.0,59.89322569869592,173.0599775549883,119.96589038750795,226.8531879955272,8.418424661
Iso Week 104,0.0,454.0763764353024,121.30535199805006,398.7044369631306,212.0885028417463,120.8442055355637,178.70182358644183,0.0,0.0,268.37988222281894,0.0,0.0,177.13199714471497,9.457565623
Iso Week 105,0.0,854.8185694258627,54.72816200449716,367.2955153964555,175.19042202949012,56.57150590983378,111.843009899889,0.0,119.55130842832745,55.70810208371461,54.54593798482299,56.66175110314937,117.35091912494684,7.486548107
Iso Week 106,54.059051614124165,919.0785917098624,118.13915657495204,282.68763091245154,113.12965259568422,166.44124116495135,307.4299439973896,217.98799023408372,59.97814155949455,0.0,0.0,163.4182328005236,221.24877976586347,11.76819609
Iso Week 107,56.99466429307591,1057.1006361386192,146.59946349741193,416.73376939617657,398.69268964666816,0.0,271.5990171265317,108.19719682882912,0.0,115.183050903877,114.84198112381084,0.0,146.02363029025696,13.85299119
